year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1995,4,315.83083355120374,-209.01,22.60268031189083,10.123031189083822,14,542.5,1995-04-01,-209.08,0.0700000000000216,17-23,8-12
1995,5,56.28769701378397,-209.12,27.567312493758116,14.6628372005282,5,682.741935483871,1995-05-01,-209.01,-0.11000000000001364,23-28,12-16
1995,6,0.0,-209.37,30.829161793372325,18.311189083820658,0,731.9,1995-06-01,-209.12,-0.25,28-31,16-19
1995,7,137.68467015402499,-209.8,31.320373514431235,20.39269949066214,8,703.4516129032259,1995-07-01,-209.37,-0.4300000000000068,31-34,19-23
1995,8,1.0,-210.16,32.00358422939069,20.414336917562725,1,690.0,1995-08-01,-209.8,-0.3599999999999852,31-34,19-23
1995,9,1.2581699346405228,-210.48,30.616906318082798,18.369183006535945,2,607.8,1995-09-01,-210.16,-0.3199999999999932,28-31,16-19
1995,10,45.61567310432513,-210.83,26.63285895003162,14.567362428842502,7,534.2903225806451,1995-10-01,-210.48,-0.35000000000002274,23-28,12-16
1995,11,986.0482940922994,-210.94,20.572280701754387,9.820311890838207,14,451.8,1995-11-01,-210.83,-0.10999999999998522,17-23,8-12
1995,12,569.6750302233859,-210.98,17.03548387096774,7.295415959252973,13,422.7096774193548,1995-12-01,-210.94,-0.03999999999999204,11-17,3-8
1996,1,2079.2271169693267,-210.62,15.302096774193544,7.308870967741934,24,332.2258064516129,1996-01-01,-210.98,0.3599999999999852,11-17,3-8
1996,2,488.7264768789412,-210.33,17.222912885662435,7.769219600725953,23,337.7586206896552,1996-02-01,-210.62,0.28999999999999204,11-17,3-8
1996,3,1565.2901177897324,-209.81,17.800938058301984,8.616927716191174,24,340.06451612903226,1996-03-01,-210.33,0.5200000000000102,11-17,8-12
1996,4,287.7543751716159,-209.6,22.583333333333332,10.449684210526318,12,522.6,1996-04-01,-209.81,0.21000000000000796,17-23,8-12
1996,5,11.397727272727273,-209.71,28.91413978494624,15.337275985663084,2,653.6129032258065,1996-05-01,-209.6,-0.11000000000001364,28-31,12-16
1996,6,0.0,-210.07,30.20177582846004,17.726827485380124,0,727.5,1996-06-01,-209.71,-0.3599999999999852,28-31,16-19
1996,7,0.0,-210.4,31.940999811356352,20.761935483870964,0,654.0967741935484,1996-07-01,-210.07,-0.3300000000000125,31-34,19-23
1996,8,0.0,-210.76,32.214003961516696,20.094643463497455,0,692.4193548387096,1996-08-01,-210.4,-0.3599999999999852,31-34,19-23
1996,9,50.5813837730214,-211.08,31.00548245614035,18.738298245614033,2,612.0,1996-09-01,-210.76,-0.3200000000000216,28-31,16-19
